Name,School,SchoolTown,schoolCoords,Sport,Hometown,hometownCoords,ClassYear,NextNameProfile,InstagramProfile,TikTokProfile,XProfile
Myah Hazelton,Transfer Portal,"Blacksburg, VA","[-80.4139, 37.2296]",Women's Basketball,"Baltimore, MD","[-76.6122, 39.2904]",Sophomore,https://nextname.io/athlete/myah-hazelton/,https://www.instagram.com/myah2ta1l,https://www.tiktok.com/@ok.myahhhh,https://x.com/MyahHa2elt0n
Reece Ihenacho,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Track & Field,"Fox River Grove, IL","[-88.2190, 42.1700]",Sophomore,https://nextname.io/athlete/reece-ihenacho/,https://www.instagram.com/reeceihenacho/,https://www.tiktok.com/@reece.throws,https://x.com/reeceihenacho_1
Jackson Buchanan,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Men's Golf,"Dacula, GA","[-83.8112, 33.8150]",Senior,https://nextname.io/athlete/jackson-buchanan/,https://www.instagram.com/_jacksonbuchanan,https://www.tiktok.com/@_jacksonbuchanan,
Luke Goode,Indiana University,"Bloomington, IN","[-86.5264, 39.1653]",Men's Basketball,"Fort Wayne, IN","[-85.1394, 41.0793]",Senior,https://nextname.io/athlete/luke-goode/,https://www.instagram.com/lukegoode10/,,https://twitter.com/lukegoode10
Clay Shelton,University of the Cumberlands,"Williamsburg, KY","[-84.2290, 37.0750]",Baseball,"Williamsburg, KY","[-84.2290, 37.0750]",Senior,https://nextname.io/athlete/clay-shelton/,https://www.instagram.com/_cshelton,https://www.tiktok.com/@clayshelly,
Cooper Donlin,Hawaii Pacific University,"Honolulu, HI","[-157.8583, 21.3069]",Baseball,"Plymouth, MI","[-83.3700, 42.3711]",Senior,https://nextname.io/athlete/cooper-donlin/,https://www.instagram.com/Coopdonlin/,https://www.tiktok.com/@sidequestcoop,https://twitter.com/c00p3rAdonlin
Alex Rodriguez,SIU Edwardsville,"Edwardsville, IL","[-89.9740, 38.8085]",Baseball,"Bourbonnais, IL","[-87.9340, 41.0010]",Senior,https://nextname.io/athlete/alex-rodriguez/,https://www.instagram.com/alexjrod14/,https://www.tiktok.com/@alexjrod14,https://twitter.com/AlexJRod14
Dante Zamudio,Cal State Northridge,"Northridge, CA","[-118.5301, 34.2381]",Baseball,"Sylmar, CA","[-118.4514, 34.3071]",Senior,https://nextname.io/athlete/dante-zamudio/,https://www.instagram.com/diz.20027/,https://www.tiktok.com/@dizzy.20027,https://twitter.com/dante_zamudio
Cecil Lofton,Southern Illinois University,"Carbondale, IL","[-89.2168, 37.7273]",Baseball,"Dalton, GA","[-84.9700, 34.7692]",Senior,https://nextname.io/athlete/bryson-cecil-lofton/,https://www.instagram.com/cecilon2_/,https://www.tiktok.com/@cecilon2_,https://twitter.com/brysonlofton1
Coby Rogers,Emporia State University,"Emporia, KS","[-96.1817, 38.4114]",Baseball,"Fenton, MO","[-90.4801, 38.3040]",Senior,https://nextname.io/athlete/coby-rogers/,https://www.instagram.com/biggcob,https://www.tiktok.com/@cobyjohnomg,https://twitter.com/CobyRogers13
Sophie Stephenson,Loyola Marymount University,"Los Angeles, CA","[-118.2437, 34.0522]",Women's Volleyball,"Seattle, WA","[-122.3321, 47.6062]",Senior,https://nextname.io/athlete/sophie-stephenson/,https://www.instagram.com/sophiestephensonn_/,https://www.tiktok.com/@sophie_stephenson_,https://twitter.com/_sophstephenson
Bianca May,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Women's Volleyball,"Orland Park, IL","[-87.9000, 41.6303]",Senior,https://nextname.io/athlete/bianca-may/,https://www.instagram.com/biancamayyy,https://www.tiktok.com/@bianca.may,https://twitter.com/biancamay1414
Cari Bohm,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Women's Volleyball,"Ann Arbor, MI","[-83.7430, 42.2808]",Senior,https://nextname.io/athlete/cari-bohm/,https://www.instagram.com/cari_bohm/,https://www.tiktok.com/@caribohmm,https://twitter.com/cari_bohm
Peyton Fitzherbert,Southeastern University,"Lakeland, FL","[-81.9498, 28.0395]",Women's Soccer,"Palm City, FL","[-80.3570, 27.5731]",Senior,https://nextname.io/athlete/peyton-fitzherbert/,https://www.instagram.com/peytonfitzherbert/,https://www.tiktok.com/@peyton.fitzherbert,https://twitter.com/Peyfitzherbert
Anna Ritter,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Women's Golf,"New Albany, OH","[-84.1960, 39.3210]",Senior,https://nextname.io/athlete/anna-ritter/,https://www.instagram.com/aritter.11/,,https://twitter.com/Annarittergolf
Lani White,Transfer Portal,"Blacksburg, VA","[-80.4139, 37.2296]",Women's Basketball,"Irvine, CA","[-117.8265, 33.6846]",Senior,https://nextname.io/athlete/lani-white/,https://www.instagram.com/laniwhitee,,https://x.com/laniwhitee
Ryan Voois,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Men's Golf,"Ladera Ranch, CA","[-117.5948, 33.6064]",Senior,https://nextname.io/athlete/ryan-voois/,https://www.instagram.com/ryanvoois/,https://www.tiktok.com/@ryan.voois,https://twitter.com/RyanVoois
Nate Vargas,UC Santa Barbara,"Santa Barbara, CA","[-119.6982, 34.4208]",Baseball,"Rocklin, CA","[-121.2373897, 38.7909072]",Senior,,https://www.instagram.com/nate.vargas7/,,https://x.com/NateVargas2021
Maya Imoto-Eakin,University of Hawai?i at Hilo,"Hilo, HI","[-155.0880, 19.7073]",Women's Volleyball,"Honolulu, HI","[-157.8583, 21.3069]",Sophomore (R),https://nextname.io/athlete/maya-imoto-eakin/,https://www.instagram.com/maya.imoto.eakin,https://www.tiktok.com/@gli22ypap4y4,
Gabby Dean,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Women's Volleyball,"Columbus, IN","[-90.2459, 43.6028]",Sophomore (R),https://nextname.io/athlete/gabby-dean/,https://www.instagram.com/gabby.dean_/,,https://twitter.com/gabbydean6
Brooke Mosher,University of Pittsburgh,"Champaign, IL","[-88.2434, 40.1164]",Women's Volleyball,"Waterloo, WI","[-90.2459, 43.6028]",Senior (R),https://nextname.io/athlete/booke-mosher/,https://instagram.com/brookemosher9,https://www.tiktok.com/@brookemosher9,
Dante Thompson,Eastern Illinois University,"Charleston, IL","[88.0686, 39.3608]",Football,"Montgomery Village, MD","[-77.1667, 39.1667]",Senior (R),https://nextname.io/athlete/dante-thompson/,https://www.instagram.com/_liltae8/,,https://twitter.com/Dante8Thompson
Nate Dorinsky,Seton Hill University,"Greensburg, PA","[-79.5640, 40.2930]",Baseball,"Columbus, OH","[-82.9988, 39.9612]",Senior (R),https://nextname.io/athlete/nate-dorinsky/,https://www.instagram.com/dorinsky._.22/,,
Quincy Thornton,University of Tennessee at Martin,"Martin, TN","[-85.4800, 36.5000]",Baseball,"Morgantown, WV","[-79.9559, 39.6295]",Senior (R),https://nextname.io/athlete/quincy-thornton/,https://www.instagram.com/quincythornton_/,,https://x.com/quincy_thornton
Sencire Harris,Transfer Portal,,,Men's Basketball,"North Canton, OH","[-81.4403, 40.1654]",Junior (R),https://nextname.io/athlete/sencire-harris/,https://www.instagram.com/sencireh/,,https://twitter.com/SencireH
Ty Rodgers,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Men's Basketball,"Saginaw, MI","[-83.9500, 43.4191]",Junior (R),https://nextname.io/athlete/ty-rodgers/,https://www.instagram.com/tyrodgers20/,https://www.tiktok.com/@ty_rodgers20,https://twitter.com/Ty_rodgers20
Lily Barry,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Women's Volleyball,"Emden, IL","[-88.2500, 40.1000]",Junior,https://nextname.io/athlete/lily-barry/,https://www.instagram.com/lilybarry.3,https://www.tiktok.com/@lilbarry5,https://twitter.com/lilybarry19
Olivia McGhee,University of Virginia,"Charlottesville, VA","[-78.4767, 38.0293]",Women's Basketball,"Louisa, VA","[-78.1320, 37.9929]",Junior,,https://www.instagram.com/0liviamcghee/,,https://x.com/0liviaMcGhee
Kylee Sessions,University of Illinois,"Champaign, IL","[-88.2434, 40.1164]",Swimming & Diving,"Leesburg, VA","[-77.5390, 39.1157]",Junior,https://nextname.io/athlete/kylee-sessions/,https://www.instagram.com/sessionskylee,https://www.tiktok.com/@Kylee_sessions123,https://twitter.com/kylee_sessions
Bryce Barnes,College of William & Mary,"Williamsburg, VA","[-76.7075, 37.2707]",Football,"Gaithersburg, MD","[-77.2014, 39.1434]",Junior,https://nextname.io/athlete/bryce-barnes/,https://www.instagram.com/boogiebarness/,,
